datumStart,datumEnd,name,shopsAreOpen
01.01.2017,01.01.2017,Neujahr,0
06.01.2017,06.01.2017,Heilige Drei Könige,0
14.04.2017,14.04.2017,Karfreitag,0
17.04.2017,17.04.2017,Ostermontag,0
01.05.2017,01.05.2017,Tag der Arbeit,0
25.05.2017,25.05.2017,Christi Himmelfahrt,0
26.05.2017,26.05.2017,geschlossen wegen Brückentag,1
05.06.2017,05.06.2017,Pfingstmontag,0
15.06.2017,15.06.2017,Fronleichnam,0
16.06.2017,16.06.2017,geschlossen wegen Brückentag,1
26.06.2017,30.06.2017,Bauernhof,1
14.08.2017,14.08.2017,geschlossen wegen Brückentag,1
15.08.2017,15.08.2017,Mariä Himmelfahrt,0
03.10.2017,03.10.2017,Tag der Deutschen Einheit,0
31.10.2017,31.10.2017,Reformationstag,0
01.11.2017,01.11.2017,Allerheiligen,0
25.12.2017,25.12.2017,1. Weihnachtsfeiertag,0
26.12.2017,26.12.2017,2. Weihnachtsfeiertag,0
